"Junhao Gan","DE190101118","The University of Queensland","This project aims to conduct a comprehensive study on density-based clustering to improve data …","339,000","2019","Discovery Early Career Researcher Award"
"Guy Wallis","DP190100533","The University of Queensland","This project aims to investigate the impact of non-visual sensory information on what we see and …","349,345","2019","Discovery Projects"
"Hongzhi Yin","DP190101985","The University of Queensland","With the advent of big data era, recommender systems are facing unprecedented challenges with …","350,000","2019","Discovery Projects"
"Shazia Sadiq","DP190102141","The University of Queensland","This project aims to tackle the growing problem of data curation. The capacity to effectively …","440,000","2019","Discovery Projects"
"Ian Hayes","DP190102142","The University of Queensland","This project aims to provide methods for the design and verification of correct, secure and …","460,000","2019","Discovery Projects"
"Zi Huang","DP190102353","The University of Queensland","This project aims to enable individuals, industries and governments, to freely access vital and …","262,000","2019","Discovery Projects"
"Xiaofang Zhou","DP170101172","The University of Queensland","This project aims to develop a database for data storage, cleaning, compression, hierarchal …","352,000","2017","Discovery Projects"
"Zi Huang","DP170103954","The University of Queensland","This project aims to investigate the influence of public attention on steering user online …","268,500","2017","Discovery Projects"
"Brian Lovell","LP160101797","The University of Queensland","The project aims to develop advanced computer-aided analytics systems with the goal to improve the …","546,000","2017","Linkage Projects"
"Hongzhi Yin","DE160100308","The University of Queensland","This project aims to develop effective and efficient techniques to enable individuals, business and …","300,000","2016","Discovery Early Career Researcher Award"
"Marta Indulska","DP160100602","The University of Queensland","This project aims to identify approaches to enable firms to find and introduce ideas through open …","330,000","2016","Discovery Projects"
"Graeme Smith","DP160102457","The University of Queensland","This project seeks to lay groundwork for fully exploiting the potential of multicore computers. …","285,000","2016","Discovery Projects"
"Heng Tao Shen","DP160104058","The University of Queensland","This project aims to use novel indexing and search approaches to realise the value of multimedia …","295,000","2016","Discovery Projects"
"Xue Li","DP160104075","The University of Queensland","This project seeks to provide a new integrated interactive data mining approach to analysing …","300,000","2016","Discovery Projects"
"Xiaofang Zhou","DP150103008","The University of Queensland","This project aims to develop breakthrough database technology that leverages the advances in video …","494,300","2015","Discovery Projects"
"David Abramson","LP150100837","The University of Queensland","Energy efficiency is a critical challenge in building next-generation supercomputers. This project …","430,000","2015","Linkage Projects"
"Kai Zheng","DE140100215","The University of Queensland","The ubiquitous fusion of social network services and Global Positioning System-enabled mobile …","394,752","2014","Discovery Early Career Researcher Award"
"Xue Li","DP140100104","The University of Queensland","Large-scale data collected from multiple sources such as the Web, sensor networks, academic …","411,000","2014","Discovery Projects"
"Xiaofang Zhou","DP140103171","The University of Queensland","The project proposes the Declaration, Exploration, Enhancement, Provenance (DEEP) approach to data …","452,000","2014","Discovery Projects"
"Ian Hayes","LP140100700","The University of Queensland","Java is a programming language and platform running on 3 billion devices. While Java provides a …","380,000","2014","Linkage Projects"
"Yi Yang","DE130101311","The University of Queensland","The information technology developed in this project will provide health care specialists with a …","375,000","2013","Discovery Early Career Researcher Award"
"Marta Indulska","DP130102454","The University of Queensland","This project will develop guidelines to assist analysts in managing complex business processes by …","234,000","2013","Discovery Projects"
"Ian Hayes","DP130102901","The University of Queensland","Multi-core processors are standard in computers and devices (e.g. smart phones) but much of the …","305,000","2013","Discovery Projects"
"Heng Tao Shen","DP130103245","The University of Queensland","This project aims to develop effective and efficient methods to manage large scale uncertain …","335,000","2013","Discovery Projects"
"Heng Tao Shen","DP130103252","The University of Queensland","This project aims to develop novel approaches to explore synergies within big social multimedia …","280,000","2013","Discovery Projects"
"Zi Huang","FT130101530","The University of Queensland","This project proposes novel end-to-end methods for real-time recognition and prediction of …","720,320","2013","ARC Future Fellowships"
"Xiaofang Zhou","LP130100164","The University of Queensland","This project aims to develop a novel computing foundation based on in-memory technologies to …","450,000","2013","Linkage Projects"
"Tudor Groza","DE120100508","The University of Queensland","This project will provide clinicians and researchers with a semantics and time-aware technique, …","375,000","2012","Discovery Early Career Researcher Award"
"Xiaofang Zhou","DP120102829","The University of Queensland","This project aims to develop effective and efficient methods to utilise large scale Global …","330,000","2012","Discovery Projects"
"Heng Tao Shen","FT120100718","The University of Queensland","Innovative approaches to analysing online video content and context will lead to new ways of …","778,976","2012","ARC Future Fellowships"
"Graeme Smith","DP110101211","The University of Queensland","As the complexity of computer-based systems rapidly increases, we need new methods for assuring …","285,000","2011","Discovery Projects"
"Shazia Sadiq","DP110102777","The University of Queensland","This project will address the growing diversity of the web/user community by developing new …","240,000","2011","Discovery Projects"
"Xiaofang Zhou","DP110103423","The University of Queensland","This project investigates new challenges related to providing functionality, flexibility and …","300,000","2011","Discovery Projects"
"Zi Huang","DP110103871","The University of Queensland","This project will make a major impact on social media mining, and open up a new research direction …","267,000","2011","Discovery Projects"
"Stuart Crozier","LP100200422","The University of Queensland","Osteoarthritis (OA) is the most common form of arthritis, affecting nearly 1.4 million Australians. …","540,000","2010","Linkage Projects"
"Stuart Crozier","DP180101257","The University of Queensland","This project aims to develop novel radio-frequency (RF) technology, ensuring that the benefits of …","462,080","2018","Discovery Projects"
"Andrew Burton-Jones","LP170101154","The University of Queensland","This project aims to address one of the most vexing questions in the management of information …","330,000","2018","Linkage Projects"
"Hien Nguyen","DE170101134","The University of Queensland","This project aims to develop algorithms for computationally-intensive statistical tools to analyse …","360,000","2017","Discovery Early Career Researcher Award"
"Geoffrey Goodhill","DP170102263","The University of Queensland","This project aims to apply Gaussian process methods, a Bayesian approach for data analysis, to …","319,500","2017","Discovery Projects"
"Penelope Sanderson","DP170102611","The University of Queensland","This project aims to investigate whether auditory displays that give listeners background …","381,000","2017","Discovery Projects"
"Philip Gillingham","FT170100080","The University of Queensland","This project aims to examine how electronic information systems (IS) can be redesigned to improve …","801,340","2017","ARC Future Fellowships"
"Sabine Matook","DP160100431","The University of Queensland","The aim of the project is to generate theoretical knowledge on how to govern agile teams …","280,000","2016","Discovery Projects"
"Mikael Boden","DP160100865","The University of Queensland","The aim of this project is to develop computational methods to construct entirely new proteins. …","330,000","2016","Discovery Projects"
"Marcus Gallagher","LP160100722","The University of Queensland","This project aims to enhance prescription monitoring to reduce and prevent dangers to the public …","191,000","2016","Linkage Projects"
"Benjamin Burton","DP150104108","The University of Queensland","Computational topology is a young and energetic field that uses computers to solve complex …","355,100","2015","Discovery Projects"
"Brian Lovell","LP130100230","The University of Queensland","This project will research and develop advanced computer aided analytics for digital pathology with …","260,000","2013","Linkage Projects"
"Mikael Boden","DP120101772","The University of Queensland","In this project new computational methods will be developed to design nature-inspired, biological …","320,000","2012","Discovery Projects"
"Benjamin Burton","DP110101104","The University of Queensland","The project will focus on key computational problems in three-dimensional topology, with the aims …","255,000","2011","Discovery Projects"
"Barbara Maenhaut","LP120100692","The University of Queensland","This project will develop specialised time-dependent networks for use in algorithmic software …","95,000","2012","Linkage Projects"
"John Macarthur","LP110100237","The University of Queensland","This project will document the histories of Queensland's postwar architects. It will produce a new …","380,000","2011","Linkage Projects"
"Janet Wiles","DP150102604","The University of Queensland","This project aims to develop an automated conversation analysis system to quantify how …","295,900","2015","Discovery Projects"
"Peter Green","DP140101815","The University of Queensland","How to align a firm’s IT resources with its business needs attracts much attention in …","270,000","2014","Discovery Projects"
"Penelope Sanderson","DP140101822","The University of Queensland","Auditory alarms on medical equipment are meant to save lives. If there are too many nuisance …","388,000","2014","Discovery Projects"
"Dirk Kroese","DP140101956","The University of Queensland","The modeling and analysis of spatial data relies more and more on sophisticated Monte Carlo …","280,000","2014","Discovery Projects"
"Benjamin Burton","DP140104246","The University of Queensland","Computational topology is a young, energetic field that uses computers to solve complex geometric …","350,000","2014","Discovery Projects"
"Sang Hong Lee","DE130100614","The University of Queensland","A fundamental question in biology is how common genetic effects are shared between traits or …","375,000","2013","Discovery Early Career Researcher Award"
"Paul Pounds","DE130100885","The University of Queensland","This project will allow small unmanned aerial vehicles to touch objects to perform tasks and to fly …","374,723","2013","Discovery Early Career Researcher Award"
"Andrew Burton-Jones","FT130100942","The University of Queensland","In an information-based economy, the critical issue for many organisations is how to leverage their …","985,860","2013","ARC Future Fellowships"
"Andrew Janke","LP130100881","The University of Queensland","Biological tissue is studied at the cellular and organ level with ever increasing clarity and …","174,000","2013","Linkage Projects"
"Geoffrey Goodhill","DP180100636","The University of Queensland","This project aims to investigate how patterns of neural activity emerge in the developing brain, …","536,390","2018","Discovery Projects"
"Penelope Sanderson","DP180103702","The University of Queensland","This project aims to investigate how effectively head-worn display technology can support mobile …","453,370","2018","Discovery Projects"
"Jane Hunter","LP100100156","The University of Queensland","The skeletal dysplasia knowledge base will: * establish Australia as a world-leader in skeletal …","273,000","2010","Linkage Projects"
"Geoffrey Goodhill","DP150101152","The University of Queensland","Information about the world is represented in the brain by the combined activity of populations of …","439,000","2015","Discovery Projects"
"Feng Liu","DP140100408","The University of Queensland","Ultra-high-field Magnetic Resonance Imaging (MRI) systems offer the potential for faster, more …","320,000","2014","Discovery Projects"
"Steven Salisbury","DP140101745","The University of Queensland","The coastline of the Dampier Peninsula, Western Australia, preserves what is arguably one the …","410,000","2014","Discovery Projects"
"Penelope Sanderson","DP140101821","The University of Queensland","Evidence is emerging of an association between the number of workplace interruptions that hospital …","489,000","2014","Discovery Projects"
"Markus Barth","FT140100865","The University of Queensland","Using advanced MRI methods at ultra-high field, this project aims to enable the decoding and …","870,552","2014","ARC Future Fellowships"
"Feng Liu","DP130100202","The University of Queensland","Conventional Magnetic Resonance Imaging (MRI) technology is fundamentally constrained by slow scan …","780,000","2013","Discovery Projects"
"Udantha Abeyratne","DP120100141","The University of Queensland","About 800,000 Australians suffer from the disease sleep Apnoea (OSA) which has snoring as its …","300,000","2012","Discovery Projects"
"Darryn Bryant","DP120103067","The University of Queensland","Compressed sensing is an exciting new paradigm promising vastly improved signal sampling and …","293,686","2012","Discovery Projects"
"Marcus Gallagher","LP120200121","The University of Queensland","The state of the art in ICT for healthcare monitoring is rapidly advancing, however, the value of …","150,000","2012","Linkage Projects"
"Geoffrey Goodhill","DP110101803","The University of Queensland","Brain wiring is crucial for brain function. The project will investigate the basic principles …","300,000","2011","Discovery Projects"
