"Chunhua Shen","FT120100969","The University of Adelaide","The ultimate goal of computer vision is to make a machine able to understand the world through ","644,671","2012","ARC Future Fellowship"
"Andrew Bradley","FT110100623","The University of Adelaide","This project will contribute to the next generation of virtual microscopy systems that provide ","771,208","2011","ARC Future Fellowship"
"Michael Sheng","FT140101247","The University of Adelaide","The future World Wide Web will connect billions of physical objects, which will offer exciting ","757,452","2014","ARC Future Fellowship"
"Daniel Navarro","FT110100431","The University of Adelaide","One of the biggest questions in psychology is to understand the principles that the mind uses to ","583,403","2011","ARC Future Fellowship"
"Steven Wiederman","FT180100466","The University of Adelaide","This project aims to address fundamental questions in neuroscience and to integrate this biological ","857,189","2018","ARC Future Fellowship"
"Qi Wu","DE190100539","The University of Adelaide","This project aims to develop a novel learning framework, Vision-Ask-Answer-Act (V3A). This ","408,000","2019","Discovery Early Career Researcher Award"
"Lingqiao Liu","DE170101259","The University of Adelaide","This project aims to develop few-shot and zero-shot learning, visual recognition techniques that ","360,000","2017","Discovery Early Career Researcher Award"
"Anders Eriksson","DE130101775","The University of Adelaide","With the number of images and video available over the internet reaching billions and growing, the ","375,000","2013","Discovery Early Career Researcher Award"
"Qinfeng Shi","DE120101161","The University of Adelaide","The aim of the project is to develop fast, large scale probabilistic graphical models (PGM) ","375,000","2012","Discovery Early Career Researcher Award"
"James Herbert-Read","DE190101486","The University of Adelaide","This project aims to provide biologically inspired solutions to the problems faced by mobile sensor ","400,000","2019","Discovery Early Career Researcher Award"
"Markus Wagner","DE160100850","The University of Adelaide","The aim of this project is to use computational intelligence in software engineering processes to ","330,000","2016","Discovery Early Career Researcher Award"
"Steven Wiederman","DE150100548","The University of Adelaide","Whether a human catching a ball, a dog leaping at a frisbee or a dragonfly hunting prey amidst a ","359,000","2015","Discovery Early Career Researcher Award"
"Anton van den Hengel","DP180103023","The University of Adelaide","Deep Learning has achieved incredible success at an astonishing variety of Computer Vision tasks ","423,102","2018","Discovery Projects"
"Tat-Jun Chin","DP160103490","The University of Adelaide","The project aims to develop algorithms to support the development of robust and accurate computer ","268,000","2016","Discovery Projects"
"Anton van den Hengel","DP160103710","The University of Adelaide","This project seeks to develop technologies that will help computer vision interpret the whole ","300,000","2016","Discovery Projects"
"Gustavo Carneiro","DP140102794","The University of Adelaide","This project will develop an improved breast cancer computer-aided diagnosis (CAD) system that ","295,000","2014","Discovery Projects"
"David Suter","DP130102524","The University of Adelaide","This project will improve image analysis to apply such applications as 3D street-scape ","330,000","2013","Discovery Projects"
"Ian Reid","DP130104413","The University of Adelaide","This project will use a moving camera to estimate the three-dimensional shape and identity of ","358,000","2013","Discovery Projects"
"Anton van den Hengel","DP120101172","The University of Adelaide","The project aims to endow machine vision with an ability we, as humans, use almost constantly: to ","330,000","2012","Discovery Projects"
"Anton van den Hengel","DP110103521","The University of Adelaide","Humans are very good at understanding the world through imagery, but computers lack this ","240,000","2011","Discovery Projects"
"David Suter","DP110103637","The University of Adelaide","Computer vision has applications in a wide variety of areas: security (video surveillance), ","300,000","2011","Discovery Projects"
"Gustavo Carneiro","DP180103232","The University of Adelaide","This project aims to develop novel methods for discovering and visualising optimal bio-markers from ","387,884","2018","Discovery Projects"
"Qinfeng Shi","DP160100703","The University of Adelaide","The project intends to develop methods to suggest how to optimally intervene so that the future ","318,000","2016","Discovery Projects"
"Qinfeng Shi","DP140102270","The University of Adelaide","Online Learning (OL) is the process of predicting answers for a sequence of questions. OL has ","380,787","2014","Discovery Projects"
"Frank Neumann","DP190103894","The University of Adelaide","This project aims to build up and establish the area of evolutionary diversity optimisation. The ","473,000","2019","Discovery Projects"
"Frank Neumann","DP160102401","The University of Adelaide","The aim of this project is to design bio-inspired computing methods for dynamically changing ","400,000","2016","Discovery Projects"
"Frank Neumann","DP140103400","The University of Adelaide","This project will establish the field of parameterised analysis of bio-inspired computing which ","300,000","2014","Discovery Projects"
"Zbigniew Michalewicz","DP130104395","The University of Adelaide","This project will integrate various algorithms into an adaptive, dynamic and intelligent system ","315,000","2013","Discovery Projects"
"David O'Carroll","DP130104572","The University of Adelaide","This project will study neurons in the insect brain that solve one of the biggest problems for ","370,000","2013","Discovery Projects"
"Michael Sheng","DP130104614","The University of Adelaide","A rapidly growing aged population presents many challenges to Australia's health and aged care ","360,000","2013","Discovery Projects"
"David O'Carroll","DP130104561","The University of Adelaide","This project will study motion vision in nocturnal and day-active insects to understand how the ","430,000","2013","Discovery Projects"
"Anthony Dick","LP130100154","The University of Adelaide","By incorporating high level scene understanding into visual tracking, this project will improve the ","345,000","2013","Linkage Projects"
"Anton van den Hengel","LP130100156","The University of Adelaide","This project aims to develop technologies which understand the content of images before ","377,000","2013","Linkage Projects"
"Anton van den Hengel","LP130101064","The University of Adelaide","This project aims to bring to life the rich historical record that is stored in our museum's ","150,000","2013","Linkage Projects"
"Anton van den Hengel","LP110200971","The University of Adelaide","Feeding an increasing world population under the threat of climate change requires the development ","475,000","2011","Linkage Projects"
"Tat-Jun Chin","LP160100495","The University of Adelaide","This project aims to develop computer vision algorithms to detect man-made objects in space. These ","275,000","2016","Linkage Projects"
"Anthony Dick","LP140100860","The University of Adelaide","This project aims to unite outputs from the large and varied array of sensors deployed in buildings ","340,000","2014","Linkage Projects"
"Anton van den Hengel","LP120200485","The University of Adelaide","The project will develop multi-class classification technologies capable of distinguishing between ","510,000","2012","Linkage Projects"
"Anton van den Hengel","LP100100791","The University of Adelaide","The World Wide Web contains tens of billions of images, with personal and industrial collections ","300,000","2010","Linkage Projects"
"Anton van den Hengel","LP100100792","The University of Adelaide","Allowing a user to model objects in the real world in real time greatly improves the efficiency of ","190,858","2010","Linkage Projects"
"Ian Reid","LP140100946","The University of Adelaide","The creation of high quality survey data is integral to productivity and safety in mining and ","240,000","2014","Linkage Projects"
