"Lijun Chang","FT180100256","The University of New South Wales","This project aims to study advanced cohesive subgraph searches, as well as design efficient and ","766,125","2018","ARC Future Fellowship"
"Tapabrata Ray","FT120100228","The University of New South Wales","This project will aim to develop a number of novel and computationally efficient schemes to deal ","539,768","2012","ARC Future Fellowship"
"Xin Cao","DE190100663","The University of New South Wales","This project aims to develop, analyse, implement, and evaluate novel indexing techniques and ","402,000","2019","Discovery Early Career Researcher Award"
"Lijun Chang","DE150100563","The University of New South Wales","Cohesive-subgraph searching is highly demanded by many applications that deal with large graphs, ","372,000","2015","Discovery Early Career Researcher Award"
"Abdallah Saffidine","DE150101351","The University of New South Wales","Constructing rational agents for general dynamic decision problems is a long-standing open ","315,000","2015","Discovery Early Career Researcher Award"
"Ying Zhang","DE140100679","The University of New South Wales","Real-time query processing of multi-dimensional uncertain data streams is fundamental in many ","395,220","2014","Discovery Early Career Researcher Award"
"Wenjie Zhang","DE120102144","The University of New South Wales","The project aims to develop novel, advanced techniques to continuously monitor uncertain objects. ","375,000","2012","Discovery Early Career Researcher Award"
"Serge Gaspers","DE120101761","The University of New South Wales","By analysing how theoretically intractable problems are solved in practice by highly optimised ","375,000","2012","Discovery Early Career Researcher Award"
"Michael Thielscher","DP150103034","The University of New South Wales","Robotic systems are becoming increasingly more sophisticated and prevalent. Developing complex and ","419,900","2015","Discovery Projects"
"Michael Thielscher","DP120102023","The University of New South Wales","This project will develop an artificial intelligence system that you can tell the rules of any new ","321,619","2012","Discovery Projects"
"Michael Thielscher","DP120102144","The University of New South Wales","While robots have come a long way they are still hampered by processing and data storage ","335,000","2012","Discovery Projects"
"Tapabrata Ray","DP190101271","The University of New South Wales","Computationally expensive simulations involving iterative solvers are increasingly being used in ","360,000","2019","Discovery Projects"
"David Taubman","DP190102574","The University of New South Wales","This project aims to address current deficiencies in multi-view video coding technology to achieve ","380,000","2019","Discovery Projects"
"Hemant Singh","DP190102591","The University of New South Wales","This project aims to develop an evolutionary computation framework for robust multi-objective ","360,000","2019","Discovery Projects"
"Ruhul Sarker","DP190102637","The University of New South Wales","This project aims to develop a novel framework for solving planning problems in dynamic ","568,410","2019","Discovery Projects"
"Jiankun Hu","DP190103660","The University of New South Wales","This project aims to develop a framework on energy big data analytics from security and privacy ","385,000","2019","Discovery Projects"
"Maté Biro","DP180102458","The University of New South Wales","This project aims to develop a novel computational platform, based on mathematical, statistical and ","387,834","2018","Discovery Projects"
"Xuemin Lin","DP180103096","The University of New South Wales","This project aims to develop novel approaches to process large scale multi-dimensional graphs. The ","407,947","2018","Discovery Projects"
"Xuemin Lin","DP170101628","The University of New South Wales","This project aims to develop theory and techniques for efficient and scalable processing of Big ","528,000","2017","Discovery Projects"
"Ruhul Sarker","DP170102416","The University of New South Wales","This project aims to develop an algorithmic framework for reactive planning under unknown ","360,500","2017","Discovery Projects"
"David Taubman","DP170103764","The University of New South Wales","This project aims to improve how video coders represent motion, leading to more efficient motion ","352,000","2017","Discovery Projects"
"Hussein Abbass","DP160102037","The University of New South Wales","This project aims to deliver smart interactive simulation environments in which users and ","560,000","2016","Discovery Projects"
"Ruhul Sarker","DP150102583","The University of New South Wales","The purpose of this project is to develop an intelligent framework for the robust configuration of ","236,700","2015","Discovery Projects"
"Xuemin Lin","DP150102728","The University of New South Wales","Advances in electronic data collections are leading to an exciting new research area - Big Data. ","397,500","2015","Discovery Projects"
"Wenjie Zhang","DP150103071","The University of New South Wales","Efficient moving object data processing is highly demanded in many key real applications. This ","266,300","2015","Discovery Projects"
"Hussein Abbass","DP140102590","The University of New South Wales","Computational red teaming concerns the design of computational models to role play intelligent ","399,178","2014","Discovery Projects"
"Xuemin Lin","DP140103578","The University of New South Wales","Efficiently conducting structure-based search is fundamental in many real applications. The project ","413,000","2014","Discovery Projects"
"David Taubman","DP140104027","The University of New South Wales","A novel API and associated algorithms will be developed to exploit the emerging technology of ","405,000","2014","Discovery Projects"
"Claude Sammut","DP130102351","The University of New South Wales","This project will give a robot the ability to learn how to interact with its environment, using ","378,000","2013","Discovery Projects"
"David Taubman","DP120102071","The University of New South Wales","This project explores a new way of communicating motion for video and multi-view (3D) applications, ","320,000","2012","Discovery Projects"
"Xuemin Lin","DP120104168","The University of New South Wales","The project aims to develop novel, advanced techniques to rank complex objects in a ","350,000","2012","Discovery Projects"
"Alison Lennon","DP170103219","The University of New South Wales","This project aims to design electrochemical capacitors that can provide self-sustaining power for ","270,000","2017","Discovery Projects"
"Linlin Ge","DP130101694","The University of New South Wales","The Earth's surface is changing all the time, both slowly and dramatically, due to activities such ","330,000","2013","Discovery Projects"
"Jiankun Hu","LP120100595","The University of New South Wales","Fingerprints captured from a crime scene are often partial and poor quality which makes it ","145,000","2012","Linkage Projects"
"Julien Epps","LP160101360","The University of New South Wales","This project aims to create the first mobile, device-based automatic assessment of mental state ","303,000","2017","Linkage Projects"
"Elizabeth Chang","LP160100080","The University of New South Wales","This project aims to realize green logistics by researching how to run diesel-powered heavy-duty ","270,198","2016","Linkage Projects"
"Dipanjan Sen","LP110100613","The University of New South Wales","This project proposes to use a physiologically motivated computational model of the cochlea, which ","209,319","2011","Linkage Projects"
